county,total_offenses,crime_against_people,cime_against_property,crime_against_society,year
Brown,1412,229,871,312,2020
Calumet,376,77,223,76,2020
Chippewa,890,210,460,220,2020
Columbia,1465,178,435,852,2020
Dane,2585,525,1658,402,2020
Douglas,511,68,370,73,2020
Eau Claire,771,132,330,309,2020
Fond du Lac,980,117,363,500,2020
Green,280,40,195,45,2020
Iowa,184,38,67,79,2020
Kenosha,1301,246,665,390,2020
Kewaunee,257,43,117,97,2020
La Crosse,464,109,259,96,2020
Lincoln,412,131,208,73,2020
Marathon,878,144,485,249,2020
Milwaukee,1257,234,347,676,2020
Oconto,667,85,348,234,2020
Outagamie,952,160,641,151,2020
Racine,1662,166,315,1181,2020
Rock,1099,209,481,409,2020
Sheboygan,1133,188,627,318,2020
St. Croix,1048,138,687,223,2020
Waukesha,1295,294,667,334,2020
Winnebago,1072,89,373,610,2020
Barron,399,64,194,141,2020
Buffalo,144,25,39,80,2020
Burnett,835,171,460,204,2020
Clark,415,89,221,105,2020
Dodge,967,188,349,430,2020
Door,311,51,168,92,2020
Florence,97,27,14,56,2020
Grant,541,118,259,164,2020
Juneau,530,122,310,98,2020
Lafayette,275,117,110,48,2020
Manitowoc,746,122,325,299,2020
Marinette,837,149,333,355,2020
Marquette,371,44,132,195,2020
Menominee,29,2,15,12,2020
Monroe,536,123,207,206,2020
Oneida,548,132,225,191,2020
Portage,555,104,310,141,2020
Price,289,40,141,108,2020
Rusk,276,90,96,90,2020
Sauk,921,131,513,277,2020
Sawyer,647,89,244,314,2020
Shawano,878,168,384,326,2020
Taylor,348,78,173,97,2020
Trempealeau,388,88,121,179,2020
Vilas,498,55,196,247,2020
Walworth,876,102,238,536,2020
Washburn,275,56,134,85,2020
Waushara,681,90,325,266,2020
Brown,2337,358,1473,506,2021
Calumet,424,61,227,136,2021
Chippewa,987,193,507,287,2021
Columbia,1360,159,339,862,2021
Dane,2509,518,1527,464,2021
Douglas,475,88,309,78,2021
Eau Claire,808,88,358,362,2021
Fond du Lac,1182,120,355,707,2021
Green,308,48,188,72,2021
