county,FIPS,percent
Florence County,55037,0
Buffalo County,55011,0.1
Langlade County,55067,0.2
Menominee County,55078,0.2
Crawford County,55023,0.2
Green County,55045,0.3
Door County,55029,0.3
Vernon County,55123,0.3
Marinette County,55075,0.4
Lincoln County,55069,0.4
Vilas County,55125,0.4
Clark County,55019,0.4
Iron County,55051,0.4
Oneida County,55085,0.4
Oconto County,55083,0.4
Waushara County,55137,0.4
Polk County,55095,0.4
Taylor County,55119,0.4
Sauk County,55111,0.4
Forest County,55041,0.5
Waupaca County,55135,0.5
Pepin County,55091,0.5
Trempealeau County,55121,0.5
Shawano County,55115,0.5
Kewaunee County,55061,0.5
Jefferson County,55055,0.5
Marquette County,55077,0.6
Juneau County,55057,0.6
Rusk County,55107,0.6
Sawyer County,55113,0.6
Barron County,55005,0.6
Bayfield County,55007,0.6
Jackson County,55053,0.6
Lafayette County,55065,0.7
Dodge County,55027,0.7
Burnett County,55013,0.7
Adams County,55001,0.7
Monroe County,55081,0.7
Washburn County,55129,0.7
Green Lake County,55047,0.8
Iowa County,55049,0.8
Ashland County,55003,0.8
Columbia County,55021,0.9
Walworth County,55127,0.9
Grant County,55043,0.9
Richland County,55103,0.9
St. Croix County,55109,1
Pierce County,55093,1.1
Rock County,55105,1.2
Douglas County,55031,1.2
Price County,55099,1.3
Racine County,55101,1.4
Chippewa County,55017,1.4
Washington County,55131,1.4
Fond du Lac County,55039,1.7
Kenosha County,55059,1.9
Wood County,55141,1.9
Ozaukee County,55089,2.2
Calumet County,55015,2.4
Manitowoc County,55071,2.7
Portage County,55097,2.9
Winnebago County,55139,3.2
Brown County,55009,3.2
Outagamie County,55087,3.5
Dunn County,55033,3.8
Waukesha County,55133,3.9
Eau Claire County,55035,4.2
La Crosse County,55063,4.5
Milwaukee County,55079,4.7
Marathon County,55073,5.7
Dane County,55025,6
Sheboygan County,55117,6
