county,FIPS,percent
Iron County,55051,0.5
Kewaunee County,55061,0.5
Washington County,55131,0.5
Buffalo County,55011,0.5
Oneida County,55085,0.6
Iowa County,55049,0.7
Ozaukee County,55089,0.7
St. Croix County,55109,0.7
Door County,55029,0.7
Lincoln County,55069,0.9
Waukesha County,55133,1
La Crosse County,55063,1
Vilas County,55125,1
Waupaca County,55135,1
Manitowoc County,55071,1
Calumet County,55015,1.1
Pierce County,55093,1.1
Chippewa County,55017,1.1
Pepin County,55091,1.2
Douglas County,55031,1.2
Langlade County,55067,1.2
Marinette County,55075,1.2
Crawford County,55023,1.2
Dodge County,55027,1.2
Winnebago County,55139,1.3
Florence County,55037,1.3
Fond du Lac County,55039,1.3
Portage County,55097,1.3
Dunn County,55033,1.3
Jefferson County,55055,1.4
Wood County,55141,1.4
Rock County,55105,1.4
Juneau County,55057,1.4
Trempealeau County,55121,1.4
Adams County,55001,1.4
Racine County,55101,1.4
Lafayette County,55065,1.4
Marathon County,55073,1.5
Dane County,55025,1.5
Washburn County,55129,1.5
Polk County,55095,1.6
Outagamie County,55087,1.6
Marquette County,55077,1.6
Waushara County,55137,1.6
Oconto County,55083,1.6
Eau Claire County,55035,1.6
Sauk County,55111,1.7
Green Lake County,55047,1.7
Shawano County,55115,1.7
Grant County,55043,1.7
Walworth County,55127,1.8
Forest County,55041,1.8
Taylor County,55119,1.8
Sheboygan County,55117,1.8
Green County,55045,1.8
Columbia County,55021,1.9
Rusk County,55107,1.9
Burnett County,55013,1.9
Richland County,55103,2
Barron County,55005,2
Kenosha County,55059,2.1
Sawyer County,55113,2.1
Jackson County,55053,2.1
Brown County,55009,2.1
Price County,55099,2.2
Vernon County,55123,2.3
Bayfield County,55007,2.4
Milwaukee County,55079,2.5
Ashland County,55003,2.7
Monroe County,55081,2.8
Clark County,55019,3.9
Menominee County,55078,14.8
