county,FIPS,percent,people
Clark County,55019,13.1,2828
Marquette County,55077,14.5,1695
Adams County,55001,15.6,2593
Forest County,55041,15.7,1068
Taylor County,55119,15.8,2201
Langlade County,55067,15.8,2269
Jackson County,55053,15.9,2368
Price County,55099,16.1,1723
Juneau County,55057,16.1,3175
Waushara County,55137,16.5,3086
Rusk County,55107,17.1,1778
Oconto County,55083,17.3,4991
Crawford County,55023,17.5,2064
Marinette County,55075,17.9,5584
Shawano County,55115,18.2,5324
Lincoln County,55069,18.8,4017
Menominee County,55078,18.9,471
Waupaca County,55135,19.5,7335
Dodge County,55027,19.6,12619
Trempealeau County,55121,19.7,4087
Lafayette County,55065,19.9,2260
Richland County,55103,19.9,2459
Monroe County,55081,20.1,6275
Kewaunee County,55061,20.3,2971
Ashland County,55003,20.7,2302
Barron County,55005,20.7,6892
Buffalo County,55011,21,2047
Wood County,55141,21.3,11288
Burnett County,55013,22.1,2835
Fond du Lac County,55039,22.3,16282
Green Lake County,55047,22.4,3028
Florence County,55037,22.5,812
Polk County,55095,22.8,7507
Pepin County,55091,22.8,1204
Manitowoc County,55071,23.1,13532
Washburn County,55129,23.1,2913
Chippewa County,55017,23.2,10937
Iron County,55051,23.7,1172
Columbia County,55021,24.2,10098
Grant County,55043,24.2,7875
Vernon County,55123,24.3,5024
Rock County,55105,24.4,27405
Sauk County,55111,25.2,11611
Green County,55045,26.1,6924
Sheboygan County,55117,26.6,21885
Sawyer County,55113,26.9,3686
Marathon County,55073,27,25985
Oneida County,55085,27.1,7873
Douglas County,55031,27.2,8631
Iowa County,55049,27.8,4687
Jefferson County,55055,27.9,16580
Racine County,55101,28,37807
Dunn County,55033,28.6,7995
Vilas County,55125,29.2,5289
Winnebago County,55139,29.3,34052
Kenosha County,55059,29.4,33693
Walworth County,55127,30.8,21725
Pierce County,55093,31,8329
Outagamie County,55087,31.6,41054
Calumet County,55015,31.7,11544
Brown County,55009,31.7,57283
Milwaukee County,55079,33.1,205336
Bayfield County,55007,33.6,4211
Portage County,55097,33.6,15396
Washington County,55131,33.9,33041
Door County,55029,35.3,8280
Eau Claire County,55035,35.4,23827
La Crosse County,55063,35.8,27960
St. Croix County,55109,37.8,24132
Waukesha County,55133,47.2,136729
Ozaukee County,55089,49.8,32105
Dane County,55025,54,200229
