county,FIPS,percent
Menominee County,55078,0.2
Florence County,55037,0.2
Forest County,55041,0.6
Oconto County,55083,0.9
Vernon County,55123,1
Langlade County,55067,1
Shawano County,55115,1.1
Rusk County,55107,1.2
Lincoln County,55069,1.3
Ashland County,55003,1.3
Bayfield County,55007,1.3
Taylor County,55119,1.3
Waupaca County,55135,1.3
Marinette County,55075,1.3
Sawyer County,55113,1.4
Iron County,55051,1.4
Oneida County,55085,1.4
Washburn County,55129,1.4
Polk County,55095,1.4
Buffalo County,55011,1.5
Price County,55099,1.5
Burnett County,55013,1.5
Grant County,55043,1.5
Vilas County,55125,1.6
Chippewa County,55017,1.6
Iowa County,55049,1.7
Crawford County,55023,1.7
Marquette County,55077,1.8
Pepin County,55091,1.8
Jackson County,55053,1.9
Wood County,55141,1.9
Green County,55045,1.9
Green Lake County,55047,2
Pierce County,55093,2
Douglas County,55031,2.2
St. Croix County,55109,2.2
Kewaunee County,55061,2.2
Juneau County,55057,2.4
Richland County,55103,2.4
Columbia County,55021,2.5
Adams County,55001,2.5
Washington County,55131,2.5
Monroe County,55081,2.6
Waushara County,55137,2.6
Dodge County,55027,2.6
Door County,55029,2.7
Lafayette County,55065,2.8
Dunn County,55033,2.9
La Crosse County,55063,2.9
Clark County,55019,2.9
Barron County,55005,3.1
Sauk County,55111,3.1
Jefferson County,55055,3.2
Manitowoc County,55071,3.2
Calumet County,55015,3.3
Winnebago County,55139,3.4
Fond du Lac County,55039,3.4
Eau Claire County,55035,3.4
Portage County,55097,3.7
Outagamie County,55087,3.9
Marathon County,55073,4.3
Trempealeau County,55121,4.5
Rock County,55105,4.9
Ozaukee County,55089,5.1
Racine County,55101,5.3
Waukesha County,55133,5.4
Brown County,55009,5.4
Sheboygan County,55117,6
Walworth County,55127,6
Kenosha County,55059,7.1
Dane County,55025,8.4
Milwaukee County,55079,9.4
