county,FIPS,percent,people
Florence County,55037,0.4,20
Iron County,55051,1.6,96
Vernon County,55123,1.7,527
Oneida County,55085,1.7,647
Douglas County,55031,1.8,800
Crawford County,55023,1.8,296
Chippewa County,55017,1.9,1257
Washburn County,55129,1.9,323
Polk County,55095,2,888
Grant County,55043,2,1028
Lincoln County,55069,2,570
Oconto County,55083,2.1,812
Price County,55099,2.1,296
Burnett County,55013,2.1,349
Rusk County,55107,2.1,300
Iowa County,55049,2.1,504
Dunn County,55033,2.2,974
Marinette County,55075,2.2,919
La Crosse County,55063,2.2,2670
Langlade County,55067,2.3,449
Pepin County,55091,2.3,170
Bayfield County,55007,2.4,390
Taylor County,55119,2.4,489
Pierce County,55093,2.5,1063
Forest County,55041,2.5,234
Buffalo County,55011,2.6,342
Vilas County,55125,2.6,607
St. Croix County,55109,2.6,2475
Richland County,55103,2.8,478
Eau Claire County,55035,2.8,2941
Sawyer County,55113,2.8,506
Barron County,55005,3,1380
Marathon County,55073,3.1,4247
Shawano County,55115,3.1,1283
Ashland County,55003,3.3,524
Juneau County,55057,3.3,889
Ozaukee County,55089,3.4,3086
Kewaunee County,55061,3.4,695
Wood County,55141,3.4,2515
Waupaca County,55135,3.4,1773
Washington County,55131,3.4,4688
Green County,55045,3.4,1273
Portage County,55097,3.6,2548
Door County,55029,3.7,1108
Jackson County,55053,3.7,780
Marquette County,55077,3.8,600
Columbia County,55021,3.9,2254
Lafayette County,55065,4.4,732
Adams County,55001,4.5,931
Winnebago County,55139,4.5,7700
Manitowoc County,55071,4.7,3803
Calumet County,55015,4.7,2459
Outagamie County,55087,4.7,8995
Monroe County,55081,5.1,2368
Waukesha County,55133,5.1,20929
Green Lake County,55047,5.4,1038
Dodge County,55027,5.5,4904
Clark County,55019,5.6,1926
Fond du Lac County,55039,5.8,6006
Sauk County,55111,5.8,3797
Waushara County,55137,6.5,1598
Dane County,55025,6.8,37996
Sheboygan County,55117,6.9,8152
Jefferson County,55055,7.5,6431
Menominee County,55078,8.4,358
Trempealeau County,55121,9.2,2837
Brown County,55009,9.4,25363
Rock County,55105,9.5,15520
Walworth County,55127,11.4,11938
Kenosha County,55059,14,23643
Racine County,55101,14.5,28478
Milwaukee County,55079,16.1,150011
