county,FIPS,median_income,people
Langlade County,55067,55091,"2,151"
Adams County,55001,55223,"2,138"
Forest County,55041,55552,"2,107"
Iron County,55051,55777,"2,087"
Price County,55099,55822,"2,085"
Ashland County,55003,57000,"1,970"
Rusk County,55107,57473,"1,924"
Sawyer County,55113,57519,"1,919"
Florence County,55037,58049,"1,859"
Washburn County,55129,58504,"1,805"
Milwaukee County,55079,59319,"1,731"
Barron County,55005,59379,"1,725"
Marquette County,55077,59748,"1,678"
Marinette County,55075,60347,"1,617"
Burnett County,55013,60466,"1,607"
Crawford County,55023,60823,"1,577"
Waushara County,55137,61033,"1,559"
Taylor County,55119,61360,"1,519"
Richland County,55103,61985,"1,465"
Menominee County,55078,62194,"1,452"
Clark County,55019,63187,"1,353"
Wood County,55141,63273,"1,345"
Juneau County,55057,63455,"1,332"
Grant County,55043,63497,"1,327"
Vilas County,55125,63726,"1,315"
Buffalo County,55011,64238,"1,267"
Lincoln County,55069,64314,"1,260"
Jackson County,55053,64630,"1,237"
Douglas County,55031,64682,"1,234"
Vernon County,55123,65177,"1,192"
Shawano County,55115,65493,"1,167"
Oneida County,55085,66111,"1,127"
Green Lake County,55047,66395,"1,094"
Manitowoc County,55071,66412,"1,091"
Monroe County,55081,66451,"1,088"
Bayfield County,55007,67266,"1,021"
Door County,55029,68257,948
Trempealeau County,55121,68474,937
La Crosse County,55063,68731,917
Sheboygan County,55117,68969,899
Waupaca County,55135,69198,888
Lafayette County,55065,69293,882
Dunn County,55033,69721,859
Chippewa County,55017,69815,851
Winnebago County,55139,70041,835
Eau Claire County,55035,70127,825
Fond du Lac County,55039,70368,805
Rock County,55105,70630,781
Pepin County,55091,70833,768
Portage County,55097,71301,745
Dodge County,55027,71747,716
Racine County,55101,72658,679
Sauk County,55111,72930,665
Marathon County,55073,73248,649
Oconto County,55083,73611,633
Brown County,55009,74066,612
Polk County,55095,74142,611
Walworth County,55127,75172,569
Green County,55045,76080,533
Kenosha County,55059,76583,519
Jefferson County,55055,77018,503
Kewaunee County,55061,77610,479
Outagamie County,55087,78705,449
Iowa County,55049,79226,432
Columbia County,55021,79271,429
Pierce County,55093,82996,319
Calumet County,55015,84151,291
Dane County,55025,84297,287
Washington County,55131,91915,193
Ozaukee County,55089,92258,191
St. Croix County,55109,97950,130
Waukesha County,55133,101639,104
