county,FIPS,percent
Buffalo County,55011,0.1
Green County,55045,0.1
Richland County,55103,0.1
St. Croix County,55109,0.1
Grant County,55043,0.1
Vernon County,55123,0.1
Iowa County,55049,0.1
Ozaukee County,55089,0.1
Pepin County,55091,0.1
Taylor County,55119,0.2
Lincoln County,55069,0.2
Waukesha County,55133,0.2
Lafayette County,55065,0.2
Fond du Lac County,55039,0.2
Rusk County,55107,0.2
Crawford County,55023,0.2
Marathon County,55073,0.2
Rock County,55105,0.2
Washington County,55131,0.2
Sheboygan County,55117,0.2
Green Lake County,55047,0.2
Dunn County,55033,0.2
Kewaunee County,55061,0.2
Dane County,55025,0.2
Portage County,55097,0.2
Clark County,55019,0.2
Walworth County,55127,0.3
Dodge County,55027,0.3
Pierce County,55093,0.3
Eau Claire County,55035,0.3
Jefferson County,55055,0.3
Chippewa County,55017,0.3
Racine County,55101,0.3
La Crosse County,55063,0.3
Calumet County,55015,0.3
Marquette County,55077,0.3
Waupaca County,55135,0.3
Marinette County,55075,0.4
Manitowoc County,55071,0.4
Kenosha County,55059,0.4
Wood County,55141,0.4
Winnebago County,55139,0.4
Columbia County,55021,0.4
Price County,55099,0.5
Polk County,55095,0.5
Barron County,55005,0.5
Milwaukee County,55079,0.6
Trempealeau County,55121,0.6
Adams County,55001,0.6
Waushara County,55137,0.6
Florence County,55037,0.8
Sauk County,55111,0.8
Juneau County,55057,0.9
Monroe County,55081,0.9
Door County,55029,1
Langlade County,55067,1.1
Oneida County,55085,1.2
Washburn County,55129,1.2
Iron County,55051,1.3
Outagamie County,55087,1.3
Oconto County,55083,1.3
Douglas County,55031,1.5
Brown County,55009,1.9
Burnett County,55013,3.3
Jackson County,55053,4.9
Shawano County,55115,6.9
Bayfield County,55007,8.1
Vilas County,55125,9
Ashland County,55003,9.9
Forest County,55041,12.6
Sawyer County,55113,14.9
Menominee County,55078,82.8
