county,FIPS,percent
Milwaukee County,55079,14.1
Menominee County,55078,14.2
Dane County,55025,14.4
Kenosha County,55059,14.8
St. Croix County,55109,14.9
Brown County,55009,15.6
Pierce County,55093,15.6
Outagamie County,55087,15.7
Calumet County,55015,15.8
Dunn County,55033,16
Eau Claire County,55035,16.3
Winnebago County,55139,16.7
Clark County,55019,16.8
Rock County,55105,17
La Crosse County,55063,17.1
Racine County,55101,17.3
Monroe County,55081,17.3
Portage County,55097,17.5
Jefferson County,55055,17.6
Grant County,55043,17.7
Dodge County,55027,18.2
Marathon County,55073,18.3
Chippewa County,55017,18.6
Columbia County,55021,18.7
Walworth County,55127,18.7
Washington County,55131,18.7
Sheboygan County,55117,18.7
Trempealeau County,55121,18.7
Fond du Lac County,55039,19
Sauk County,55111,19
Iowa County,55049,19.3
Jackson County,55053,19.4
Green County,55045,19.4
Douglas County,55031,19.4
Waukesha County,55133,19.5
Lafayette County,55065,19.6
Taylor County,55119,20.1
Vernon County,55123,20.3
Ashland County,55003,20.4
Ozaukee County,55089,20.6
Waupaca County,55135,20.7
Juneau County,55057,21
Wood County,55141,21.1
Manitowoc County,55071,21.2
Kewaunee County,55061,21.2
Shawano County,55115,21.5
Polk County,55095,21.5
Oconto County,55083,21.8
Barron County,55005,22.7
Lincoln County,55069,22.7
Green Lake County,55047,22.8
Buffalo County,55011,22.9
Pepin County,55091,23
Richland County,55103,24.1
Crawford County,55023,24.2
Marinette County,55075,24.3
Forest County,55041,24.4
Langlade County,55067,24.5
Waushara County,55137,25.1
Rusk County,55107,25.1
Marquette County,55077,25.3
Oneida County,55085,26.9
Sawyer County,55113,27
Florence County,55037,27
Price County,55099,27.2
Washburn County,55129,27.3
Bayfield County,55007,29.2
Burnett County,55013,30.2
Adams County,55001,30.5
Door County,55029,30.6
Vilas County,55125,30.9
Iron County,55051,31.5
