county,FIPS,percent,people
Menominee County,55078,20,850
Milwaukee County,55079,17.8,162787
Ashland County,55003,16.6,2563
Juneau County,55057,14.7,3737
Vernon County,55123,14.6,4433
Adams County,55001,14.6,2890
Richland County,55103,14.5,2456
Forest County,55041,13.9,1257
Grant County,55043,13.8,6679
Price County,55099,13.6,1880
Sawyer County,55113,13.2,2333
Green Lake County,55047,12.8,2393
Jackson County,55053,12.7,2513
Crawford County,55023,12.4,1900
Washburn County,55129,12.4,2035
Clark County,55019,12.2,4168
Langlade County,55067,12.2,2357
Eau Claire County,55035,12.1,12308
La Crosse County,55063,11.8,13619
Barron County,55005,11.8,5401
Burnett County,55013,11.6,1911
Monroe County,55081,11.6,5259
Waushara County,55137,11.5,2701
Rusk County,55107,11.4,1588
Racine County,55101,11.3,21743
Douglas County,55031,11.2,4824
Kenosha County,55059,11.1,18284
Dunn County,55033,11,4581
Dane County,55025,10.9,59287
Winnebago County,55139,10.8,17725
Lafayette County,55065,10.5,1744
Wood County,55141,10.5,7697
Iron County,55051,10.5,628
Bayfield County,55007,10.4,1676
Marquette County,55077,10.4,1616
Portage County,55097,10.4,7011
Lincoln County,55069,10.4,2888
Shawano County,55115,10.1,4037
Manitowoc County,55071,10,8004
Chippewa County,55017,9.9,6318
Rock County,55105,9.9,15851
Pierce County,55093,9.8,3885
Florence County,55037,9.8,441
Vilas County,55125,9.8,2235
Brown County,55009,9.7,25358
Marinette County,55075,9.7,3939
Walworth County,55127,9.6,9786
Oneida County,55085,9.6,3552
Waupaca County,55135,8.8,4439
Taylor County,55119,8.8,1742
Door County,55029,8.7,2573
Sauk County,55111,8.6,5573
Fond du Lac County,55039,8.6,8634
Marathon County,55073,8.3,11323
Polk County,55095,8.3,3709
Oconto County,55083,8.3,3181
Buffalo County,55011,8.2,1088
Iowa County,55049,8,1874
Pepin County,55091,7.8,570
Sheboygan County,55117,7.7,8817
Jefferson County,55055,7.6,6326
Dodge County,55027,7.6,6485
Columbia County,55021,7.5,4266
Trempealeau County,55121,7.4,2229
Outagamie County,55087,6.9,12949
Kewaunee County,55061,6.7,1372
Green County,55045,6.6,2414
St. Croix County,55109,5.9,5513
Calumet County,55015,5.9,3052
Waukesha County,55133,4.9,19932
Washington County,55131,4.7,6436
Ozaukee County,55089,4.5,4036
