county,FIPS,percent,people
Menominee County,55078,11.8,506
Milwaukee County,55079,54.3,506296
Racine County,55101,76.2,150173
Sawyer County,55113,77.6,14007
Kenosha County,55059,78.9,133072
Forest County,55041,79.4,7333
Dane County,55025,80.5,450875
Brown County,55009,81.8,219486
Ashland County,55003,83.1,13331
Rock County,55105,83.5,136720
Bayfield County,55007,84.6,13713
Sheboygan County,55117,85.7,100929
Vilas County,55125,85.9,19873
Jackson County,55053,86.2,18068
Shawano County,55115,86.4,35275
Outagamie County,55087,87.8,167326
Marathon County,55073,88.6,122159
Walworth County,55127,88.8,93316
Winnebago County,55139,88.8,152010
Waukesha County,55133,89.1,362828
La Crosse County,55063,89.4,107438
Juneau County,55057,89.5,23891
Eau Claire County,55035,89.6,94693
Fond du Lac County,55039,90.4,94069
Waushara County,55137,90.6,22351
Adams County,55001,90.7,18796
Monroe County,55081,90.9,41997
Trempealeau County,55121,90.9,27894
Calumet County,55015,91,47655
Dodge County,55027,91,81061
Manitowoc County,55071,91.1,73992
Jefferson County,55055,91.3,78429
Burnett County,55013,91.3,15119
Portage County,55097,91.4,64211
Ozaukee County,55089,91.4,83861
Douglas County,55031,91.5,40328
Sauk County,55111,91.8,60258
Columbia County,55021,92.6,53933
Washington County,55131,92.6,126654
Barron County,55005,92.6,43208
Dunn County,55033,92.6,41877
Wood County,55141,92.7,68727
Pierce County,55093,93.4,39382
Langlade County,55067,93.5,18238
Chippewa County,55017,93.7,62057
Clark County,55019,93.8,32542
St. Croix County,55109,93.8,87951
Richland County,55103,93.8,16193
Crawford County,55023,93.9,15133
Green Lake County,55047,93.9,17932
Washburn County,55129,94,15688
Door County,55029,94,28245
Waupaca County,55135,94.2,48827
Price County,55099,94.4,13278
Marquette County,55077,94.4,14746
Iowa County,55049,94.5,22456
Oneida County,55085,94.7,35804
Kewaunee County,55061,94.8,19494
Oconto County,55083,94.8,37025
Iron County,55051,95,5828
Lafayette County,55065,95,15877
Polk County,55095,95,42875
Lincoln County,55069,95,26987
Green County,55045,95.1,35233
Grant County,55043,95.1,49279
Rusk County,55107,95.4,13531
Buffalo County,55011,95.4,12721
Vernon County,55123,95.4,29408
Marinette County,55075,95.5,39938
Florence County,55037,95.7,4376
Taylor County,55119,95.7,19119
Pepin County,55091,96.1,7078
